"CO.Fabrica","CO.Cliente","rota_fabrica_cliente","custo_max_rota_23","Demanda","Producao","Qtd.Transp_Otim_23_Pessimista","Vlr.Frete_Otim_23_Pessimista"
"3403208","2301","3403208 - 2301",0.6633666666666667,5973721,90000000,5973721.0,3962767.3873666665
"3403208","2302","3403208 - 2302",0.6302066666666666,1778080,90000000,1778080.0,1120557.8698666666
"3403208","2303","3403208 - 2303",0.5962388888888889,5958798,90000000,5958798.0,3552867.098633333
"3403208","2304","3403208 - 2304",0.5751055555555555,896173,90000000,896173.0,515394.0710388889
"3403208","2305","3403208 - 2305",0.5986933333333333,3241494,90000000,3241494.0,1940660.84784
"3403208","2306","3403208 - 2306",0.6633666666666667,3244827,90000000,3244827.0,2152510.0709
"3403208","2307","3403208 - 2307",0.6302066666666666,12738726,90000000,12738726,8028030.050039999
"3403208","2308","3403208 - 2308",0.6633666666666667,6792503,90000000,6555581.0,4348753.916033333
"3403208","2309","3403208 - 2309",0.5027666666666667,7471374,90000000,7471374.0,3756357.8014
"3403208","2310","3403208 - 2310",0.8061,2098730,90000000,0.0,0.0
"3403208","2311","3403208 - 2311",0.44364444444444434,7295028,90000000,7295028.0,3236398.644266666
"3403208","2312","3403208 - 2312",0.9286266666666666,1350774,90000000,1350774.0,1254364.7570399998
"3403208","2313","3403208 - 2313",1.0185066666666667,1439856,90000000,1439856.0,1466502.93504
"3403208","2314","3403208 - 2314",1.0185066666666667,3977784,90000000,3977784.0,4051399.52256
"3403208","2315","3403208 - 2315",1.0185066666666667,3666906,90000000,3666906.0,3734768.2070400002
"3403208","2316","3403208 - 2316",1.0185066666666667,271034,90000000,271034.0,276049.93589333334
"3403208","2317","3403208 - 2317",1.0185066666666667,1272373,90000000,1272373.0,1295920.3829866666
"3403208","2318","3403208 - 2318",1.0185066666666667,569236,90000000,569236.0,579770.6609066667
"3403208","2319","3403208 - 2319",0.8061,1589336,90000000,0.0,0.0
"3403208","2320","3403208 - 2320",0.8061,5063433,90000000,0.0,0.0
"3403208","2321","3403208 - 2321",0.8061,10686204,90000000,0.0,0.0
"3403208","2322","3403208 - 2322",0.8061,2495205,90000000,0.0,0.0
"3403208","2323","3403208 - 2323",0.8061,1753764,90000000,0.0,0.0
"3403208","2324","3403208 - 2324",0.8375866666666668,20427048,90000000,0.0,0.0
"3403208","2325","3403208 - 2325",0.8061,7828763,90000000,0.0,0.0
"3403208","2326","3403208 - 2326",0.8375866666666667,5788209,90000000,0.0,0.0
"3403208","2327","3403208 - 2327",0.8816666666666667,11836544,90000000,0.0,0.0
"3403208","2328","3403208 - 2328",0.8061000000000001,6145143,90000000,0.0,0.0
"3403208","2329","3403208 - 2329",0.8061,13860432,90000000,0.0,0.0
"3403208","2330","3403208 - 2330",0.8061,3482379,90000000,0.0,0.0
"3403208","2331","3403208 - 2331",0.8061,4084642,90000000,0.0,0.0
"3403208","2332","3403208 - 2332",0.8061,10839219,90000000,0.0,0.0
"3403208","2333","3403208 - 2333",0.8061000000000001,1336988,90000000,0.0,0.0
"3403208","2334","3403208 - 2334",0.8061,1898750,90000000,0.0,0.0
"3403208","2335","3403208 - 2335",0.8061000000000001,14197671,90000000,0.0,0.0
"3403208","2336","3403208 - 2336",,1716192,90000000,0.0,0.0
"3403208","2337","3403208 - 2337",,827342,90000000,0.0,0.0
"3403208","2338","3403208 - 2338",,2539443,90000000,0.0,0.0
"3403208","2339","3403208 - 2339",1.002038888888889,1789064,90000000,1789064.0,1792711.7027111112
"3403208","2340","3403208 - 2340",1.1461666666666666,973767,90000000,0.0,0.0
"3403208","2341","3403208 - 2341",1.08886,5304924,90000000,0.0,0.0
"3403208","2342","3403208 - 2342",1.08886,838856,90000000,0.0,0.0
"3403208","2343","3403208 - 2343",1.1461666666666666,8150094,90000000,0.0,0.0
"3403208","2344","3403208 - 2344",0.7538266666666666,678417,90000000,678417.0,511408.82571999996
"3403208","2345","3403208 - 2345",0.7538266666666666,3600095,90000000,3600095.0,2713847.6135333334
"3403208","2346","3403208 - 2346",0.71614,3522678,90000000,3522678.0,2522730.62292
"3403208","2347","3403208 - 2347",0.40402,3675315,90000000,3675315.0,1484900.7663
"3403208","2348","3403208 - 2348",0.3325266666666667,1310374,90000000,1310374.0,435734.2983066667
"3403208","2349","3403208 - 2349",0.44891333333333333,1761137,90000000,1761137.0,790597.8811266667
"3403208","2350","3403208 - 2350",0.42146666666666666,4402893,90000000,4402893.0,1855672.6364
"3403208","2351","3403208 - 2351",0.59854,1331761,90000000,1331761.0,797112.22894
"3424402","2301","3424402 - 2301",0.7075933333333334,5973721,90000000,0.0,0.0
"3424402","2302","3424402 - 2302",0.4606733333333333,1778080,90000000,0.0,0.0
"3424402","2303","3424402 - 2303",0.7033666666666666,5958798,90000000,0.0,0.0
"3424402","2304","3424402 - 2304",0.47883333333333333,896173,90000000,0.0,0.0
"3424402","2305","3424402 - 2305",0.48492,3241494,90000000,0.0,0.0
"3424402","2306","3424402 - 2306",0.7033666666666666,3244827,90000000,0.0,0.0
"3424402","2307","3424402 - 2307",0.5095777777777778,12738726,90000000,0.0,0.0
"3424402","2308","3424402 - 2308",0.44364444444444445,6792503,90000000,0.0,0.0
"3424402","2309","3424402 - 2309",0.5646166666666667,7471374,90000000,0.0,0.0
"3424402","2310","3424402 - 2310",0.40402,2098730,90000000,0.0,0.0
"3424402","2311","3424402 - 2311",0.7002266666666667,7295028,90000000,0.0,0.0
"3424402","2312","3424402 - 2312",,1350774,90000000,0.0,0.0
"3424402","2313","3424402 - 2313",,1439856,90000000,0.0,0.0
"3424402","2314","3424402 - 2314",,3977784,90000000,0.0,0.0
"3424402","2315","3424402 - 2315",,3666906,90000000,0.0,0.0
"3424402","2316","3424402 - 2316",,271034,90000000,0.0,0.0
"3424402","2317","3424402 - 2317",,1272373,90000000,0.0,0.0
"3424402","2318","3424402 - 2318",,569236,90000000,0.0,0.0
"3424402","2319","3424402 - 2319",0.40402,1589336,90000000,1589336.0,642123.53072
"3424402","2320","3424402 - 2320",0.3159,5063433,90000000,5063433.0,1599538.4847000001
"3424402","2321","3424402 - 2321",0.3159,10686204,90000000,10686204,3375771.8436000003
"3424402","2322","3424402 - 2322",0.433,2495205,90000000,2495205.0,1080423.765
"3424402","2323","3424402 - 2323",0.3325266666666667,1753764,90000000,1753764.0,583173.2970400001
"3424402","2324","3424402 - 2324",0.3371833333333333,20427048,90000000,1087224.0,366593.81239999994
"3424402","2325","3424402 - 2325",0.3371833333333333,7828763,90000000,0.0,0.0
"3424402","2326","3424402 - 2326",0.3371833333333333,5788209,90000000,5788209.0,1951687.6046499996
"3424402","2327","3424402 - 2327",0.3325266666666667,11836544,90000000,11836544,3935966.5211733337
"3424402","2328","3424402 - 2328",0.44891333333333333,6145143,90000000,0.0,0.0
"3424402","2329","3424402 - 2329",0.37514000000000003,13860432,90000000,13860432,5199602.460480001
"3424402","2330","3424402 - 2330",0.3159,3482379,90000000,3482379.0,1100083.5261000001
"3424402","2331","3424402 - 2331",0.3325266666666667,4084642,90000000,4084642.0,1358252.3887866668
"3424402","2332","3424402 - 2332",0.30011333333333334,10839219,90000000,10839219,3252994.14482
"3424402","2333","3424402 - 2333",0.3646466666666666,1336988,90000000,1336988.0,487528.21757333324
"3424402","2334","3424402 - 2334",0.3371833333333333,1898750,90000000,1898750.0,640226.8541666665
"3424402","2335","3424402 - 2335",0.35491666666666666,14197671,90000000,14197671,5038990.06575
"3424402","2336","3424402 - 2336",0.8061,1716192,90000000,0.0,0.0
"3424402","2337","3424402 - 2337",0.8061,827342,90000000,0.0,0.0
"3424402","2338","3424402 - 2338",0.8061,2539443,90000000,0.0,0.0
"3424402","2339","3424402 - 2339",,1789064,90000000,0.0,0.0
"3424402","2340","3424402 - 2340",,973767,90000000,0.0,0.0
"3424402","2341","3424402 - 2341",,5304924,90000000,0.0,0.0
"3424402","2342","3424402 - 2342",,838856,90000000,0.0,0.0
"3424402","2343","3424402 - 2343",,8150094,90000000,0.0,0.0
"3424402","2344","3424402 - 2344",0.5586266666666667,678417,90000000,0.0,0.0
"3424402","2345","3424402 - 2345",0.5751055555555555,3600095,90000000,0.0,0.0
"3424402","2346","3424402 - 2346",0.5586266666666667,3522678,90000000,0.0,0.0
"3424402","2347","3424402 - 2347",1.08886,3675315,90000000,0.0,0.0
"3424402","2348","3424402 - 2348",1.1461666666666666,1310374,90000000,0.0,0.0
"3424402","2349","3424402 - 2349",1.08886,1761137,90000000,0.0,0.0
"3424402","2350","3424402 - 2350",1.1461666666666666,4402893,90000000,0.0,0.0
"3424402","2351","3424402 - 2351",1.1461666666666666,1331761,90000000,0.0,0.0
"3423909","2301","3423909 - 2301",,5973721,56000000,0.0,0.0
"3423909","2302","3423909 - 2302",,1778080,56000000,0.0,0.0
"3423909","2303","3423909 - 2303",,5958798,56000000,0.0,0.0
"3423909","2304","3423909 - 2304",,896173,56000000,0.0,0.0
"3423909","2305","3423909 - 2305",0.3684666666666667,3241494,56000000,0.0,0.0
"3423909","2306","3423909 - 2306",,3244827,56000000,0.0,0.0
"3423909","2307","3423909 - 2307",,12738726,56000000,0.0,0.0
"3423909","2308","3423909 - 2308",0.3684666666666667,6792503,56000000,236922.0,87297.85960000001
"3423909","2309","3423909 - 2309",0.40402,7471374,56000000,0.0,0.0
"3423909","2310","3423909 - 2310",0.35012,2098730,56000000,2098730.0,734807.3476
"3423909","2311","3423909 - 2311",0.3684666666666667,7295028,56000000,0.0,0.0
"3423909","2312","3423909 - 2312",,1350774,56000000,0.0,0.0
"3423909","2313","3423909 - 2313",,1439856,56000000,0.0,0.0
"3423909","2314","3423909 - 2314",,3977784,56000000,0.0,0.0
"3423909","2315","3423909 - 2315",,3666906,56000000,0.0,0.0
"3423909","2316","3423909 - 2316",,271034,56000000,0.0,0.0
"3423909","2317","3423909 - 2317",,1272373,56000000,0.0,0.0
"3423909","2318","3423909 - 2318",,569236,56000000,0.0,0.0
"3423909","2319","3423909 - 2319",,1589336,56000000,0.0,0.0
"3423909","2320","3423909 - 2320",,5063433,56000000,0.0,0.0
"3423909","2321","3423909 - 2321",,10686204,56000000,0.0,0.0
"3423909","2322","3423909 - 2322",,2495205,56000000,0.0,0.0
"3423909","2323","3423909 - 2323",,1753764,56000000,0.0,0.0
"3423909","2324","3423909 - 2324",0.3371833333333333,20427048,56000000,19339824,6521066.322399999
"3423909","2325","3423909 - 2325",0.24711666666666668,7828763,56000000,7828763.0,1934617.8166833334
"3423909","2326","3423909 - 2326",0.44891333333333333,5788209,56000000,0.0,0.0
"3423909","2327","3423909 - 2327",0.35638000000000003,11836544,56000000,0.0,0.0
"3423909","2328","3423909 - 2328",0.37514000000000003,6145143,56000000,6145143.0,2305288.94502
"3423909","2329","3423909 - 2329",0.39487999999999995,13860432,56000000,0.0,0.0
"3423909","2330","3423909 - 2330",0.5388266666666667,3482379,56000000,0.0,0.0
"3423909","2331","3423909 - 2331",0.4489133333333333,4084642,56000000,0.0,0.0
"3423909","2332","3423909 - 2332",0.44891333333333333,10839219,56000000,0.0,0.0
"3423909","2333","3423909 - 2333",0.59854,1336988,56000000,0.0,0.0
"3423909","2334","3423909 - 2334",0.40402,1898750,56000000,0.0,0.0
"3423909","2335","3423909 - 2335",0.40402,14197671,56000000,0.0,0.0
"3423909","2336","3423909 - 2336",0.5586266666666667,1716192,56000000,1716192.0,958710.61632
"3423909","2337","3423909 - 2337",0.5586266666666667,827342,56000000,827342.0,462175.3036533334
"3423909","2338","3423909 - 2338",0.5586266666666667,2539443,56000000,2539443.0,1418600.57828
"3423909","2339","3423909 - 2339",0.71614,1789064,56000000,0.0,0.0
"3423909","2340","3423909 - 2340",0.7179466666666667,973767,56000000,973767.0,699112.77176
"3423909","2341","3423909 - 2341",0.69828,5304924,56000000,5304924.0,3704322.33072
"3423909","2342","3423909 - 2342",0.69828,838856,56000000,838856.0,585756.36768
"3423909","2343","3423909 - 2343",0.71614,8150094,56000000,8150094.0,5836608.31716
"3423909","2344","3423909 - 2344",,678417,56000000,0.0,0.0
"3423909","2345","3423909 - 2345",,3600095,56000000,0.0,0.0
"3423909","2346","3423909 - 2346",,3522678,56000000,0.0,0.0
"3423909","2347","3423909 - 2347",0.8061000000000001,3675315,56000000,0.0,0.0
"3423909","2348","3423909 - 2348",0.8061,1310374,56000000,0.0,0.0
"3423909","2349","3423909 - 2349",0.8061,1761137,56000000,0.0,0.0
"3423909","2350","3423909 - 2350",0.8061,4402893,56000000,0.0,0.0
"3423909","2351","3423909 - 2351",0.8061,1331761,56000000,0.0,0.0
